ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,in,out
2020-02-25 11:30:34,2020-02-25 11:30:34,0,192.168.250.62,192.168.250.1,45990,123,UDP,......,0,16,2,152,1,0
2020-02-25 11:30:34,2020-02-25 11:30:34,0,192.168.250.1,192.168.250.62,123,45990,UDP,......,0,184,2,152,0,1
2020-02-25 11:30:34,2020-02-25 11:30:34,0,23.226.231.226,217.15.20.194,30437,80,TCP,..P.S.,0,0,2,80,4,1
2020-02-25 11:30:37,2020-02-25 11:30:37,0,192.168.250.3,192.168.250.1,31919,53,UDP,......,0,0,3,186,1,0
2020-02-25 11:30:37,2020-02-25 11:30:37,0,192.168.250.1,192.168.250.3,53,31919,UDP,......,0,0,3,218,0,1
2020-02-25 11:30:37,2020-02-25 11:30:37,0,192.168.250.3,93.92.192.5,17551,2022,TCP,....S.,0,0,11,2865,1,4
2020-02-25 11:30:37,2020-02-25 11:30:37,0,93.92.192.5,217.15.20.194,2022,17551,TCP,.A..S.,0,0,9,2528,4,1
2020-02-25 11:30:28,2020-02-25 11:30:37,9,192.168.250.50,77.111.247.41,61547,443,TCP,....S.,0,0,4,204,1,4
2020-02-25 11:30:38,2020-02-25 11:30:38,0,192.168.250.3,192.168.250.1,40680,53,UDP,......,0,0,2,142,1,0
2020-02-25 11:30:38,2020-02-25 11:30:38,0,192.168.250.1,192.168.250.3,53,40680,UDP,......,0,0,2,322,0,1
2020-02-25 11:30:38,2020-02-25 11:30:38,0,192.168.250.3,192.168.250.1,17233,53,UDP,......,0,0,2,124,1,0
2020-02-25 11:30:38,2020-02-25 11:30:38,0,192.168.250.1,192.168.250.3,53,17233,UDP,......,0,0,2,124,0,1
2020-02-25 11:30:38,2020-02-25 11:30:38,0,192.168.250.3,192.168.250.1,15302,53,UDP,......,0,0,2,140,1,0
2020-02-25 11:30:38,2020-02-25 11:30:38,0,192.168.250.1,192.168.250.3,53,15302,UDP,......,0,0,2,140,0,1
2020-02-25 11:30:08,2020-02-25 11:30:39,31.11,192.168.250.3,23.226.231.226,80,56019,TCP,.A..S.,0,0,7,308,1,4
2020-02-25 11:30:11,2020-02-25 11:30:41,29.62,192.168.250.27,77.74.181.18,50302,443,TCP,....S.,0,0,9,980,1,4
2020-02-25 11:30:12,2020-02-25 11:30:41,29.66,77.74.181.18,217.15.20.194,443,50302,TCP,.A..S.,0,0,6,534,4,1
2020-02-25 11:21:32,2020-02-25 11:30:41,549.75,192.168.250.3,23.226.231.226,80,43635,TCP,.A..S.,0,0,13,572,1,4
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.35,192.168.250.1,55568,53,UDP,......,0,0,2,128,1,0
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.35,192.168.250.1,52128,53,UDP,......,0,0,2,146,1,0
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.1,192.168.250.35,53,52128,UDP,......,0,0,2,464,0,1
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.1,192.168.250.35,53,55568,UDP,......,0,0,2,1058,0,1
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.35,192.168.250.1,54856,53,TCP,  0xc2,0,0,3,168,1,0
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.1,192.168.250.35,53,54856,TCP,  0x52,0,0,2,120,0,1
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.35,17.253.38.125,123,123,UDP,......,0,0,2,152,1,4
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.35,17.253.54.253,123,123,UDP,......,0,0,2,152,1,4
2020-02-25 11:30:46,2020-02-25 11:30:46,0,17.253.54.253,217.15.20.194,123,123,UDP,......,0,0,2,152,4,1
2020-02-25 11:30:46,2020-02-25 11:30:46,0,192.168.250.35,17.253.38.253,123,123,UDP,......,0,0,2,152,1,4
2020-02-25 11:30:47,2020-02-25 11:30:47,0,23.226.231.226,217.15.20.194,17646,80,TCP,..P.S.,0,0,2,80,4,1
2020-02-25 11:30:38,2020-02-25 11:30:49,10.98,92.118.38.58,217.15.20.194,58152,25,TCP,....S.,0,0,18,1031,4,1
2020-02-25 11:30:38,2020-02-25 11:30:49,10.98,192.168.250.3,92.118.38.58,25,58152,TCP,.A..S.,0,0,12,972,1,4
2020-02-25 11:30:49,2020-02-25 11:30:49,0,192.168.250.50,192.168.250.1,61444,53,UDP,......,0,0,3,300,1,0
2020-02-25 11:30:49,2020-02-25 11:30:49,0,192.168.250.1,192.168.250.50,53,61444,UDP,......,0,0,2,1072,0,1
2020-02-25 11:30:49,2020-02-25 11:30:49,0,192.168.250.50,192.168.250.1,54853,53,TCP,....S.,0,0,6,338,1,0
2020-02-25 11:30:49,2020-02-25 11:30:49,0,192.168.250.1,192.168.250.50,53,54853,TCP,.A..S.,0,0,5,782,0,1
2020-02-25 11:30:50,2020-02-25 11:30:50,0,192.168.250.50,192.168.250.1,55806,53,UDP,......,0,0,3,192,1,0
2020-02-25 11:30:50,2020-02-25 11:30:50,0,192.168.250.1,192.168.250.50,53,55806,UDP,......,0,0,2,1042,0,1
2020-02-25 11:30:50,2020-02-25 11:30:50,0,192.168.250.50,192.168.250.1,61608,53,UDP,......,0,0,2,126,1,0
2020-02-25 11:30:50,2020-02-25 11:30:50,0,192.168.250.1,192.168.250.50,53,61608,UDP,......,0,0,2,1054,0,1
2020-02-25 11:30:50,2020-02-25 11:30:50,0,192.168.250.50,192.168.250.1,62161,53,UDP,......,0,0,2,148,1,0
2020-02-25 11:30:50,2020-02-25 11:30:50,0,192.168.250.1,192.168.250.50,53,62161,UDP,......,0,0,2,936,0,1
2020-02-25 11:28:49,2020-02-25 11:30:51,121.56,192.168.250.50,52.114.75.78,61200,443,TCP,....S.,0,0,15,4891,1,4
2020-02-25 11:21:57,2020-02-25 11:30:52,534.8,23.226.231.226,217.15.20.194,18053,80,TCP,..P.S.,0,0,3,120,4,1
2020-02-25 11:30:21,2020-02-25 11:30:53,31.65,192.168.250.3,23.226.231.226,80,43228,TCP,.A..S.,0,0,7,308,1,4
2020-02-25 11:30:55,2020-02-25 11:30:55,0,35.239.58.193,217.15.20.194,42535,53,UDP,......,0,0,2,122,4,1
2020-02-25 11:30:55,2020-02-25 11:30:55,0,192.168.250.247,35.239.58.193,53,42535,UDP,......,0,0,2,290,1,4
2020-02-25 11:30:56,2020-02-25 11:30:56,0,192.168.250.57,192.168.250.1,56110,53,UDP,......,0,0,2,128,1,0
2020-02-25 11:30:56,2020-02-25 11:30:56,0,192.168.250.1,192.168.250.57,53,56110,UDP,......,0,0,2,128,0,1
2020-02-25 11:31:00,2020-02-25 11:31:00,0,23.226.231.226,217.15.20.194,4855,80,TCP,..P.S.,0,0,2,80,4,1
2020-02-25 11:21:44,2020-02-25 11:31:02,557.63,192.168.250.3,23.226.231.226,80,30844,TCP,.A..S.,0,0,13,572,1,4
2020-02-25 11:28:03,2020-02-25 11:31:03,179.49,68.232.34.200,217.15.20.194,443,61372,TCP,.A..S.,0,0,24,11402,4,1
2020-02-25 11:28:03,2020-02-25 11:31:03,179.53,192.168.250.50,68.232.34.200,61372,443,TCP,....S.,0,0,19,2633,1,4
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59116,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59118,53,UDP,......,0,0,2,158,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59119,53,UDP,......,0,0,2,158,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59116,UDP,......,0,0,2,700,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59120,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59121,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59119,UDP,......,0,0,2,768,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59122,53,UDP,......,0,0,2,176,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59123,53,UDP,......,0,0,2,176,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59118,UDP,......,0,0,2,768,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59124,53,UDP,......,0,0,2,154,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59125,53,UDP,......,0,0,2,154,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59121,UDP,......,0,0,2,764,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59120,UDP,......,0,0,2,764,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59126,53,UDP,......,0,0,2,154,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59127,53,UDP,......,0,0,2,154,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59123,UDP,......,0,0,2,676,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59128,53,UDP,......,0,0,2,152,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59129,53,UDP,......,0,0,2,152,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59122,UDP,......,0,0,2,676,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59125,UDP,......,0,0,2,888,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59130,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59131,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59124,UDP,......,0,0,2,888,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59132,53,UDP,......,0,0,2,152,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59133,53,UDP,......,0,0,2,152,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59127,UDP,......,0,0,2,760,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59126,UDP,......,0,0,2,760,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59129,UDP,......,0,0,2,596,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59128,UDP,......,0,0,2,596,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59134,53,UDP,......,0,0,2,160,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,192.168.250.1,59135,53,UDP,......,0,0,2,160,1,0
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59131,UDP,......,0,0,2,700,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59130,UDP,......,0,0,2,700,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59133,UDP,......,0,0,2,884,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59132,UDP,......,0,0,2,884,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59135,UDP,......,0,0,2,772,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.1,192.168.250.27,53,59134,UDP,......,0,0,2,772,0,1
2020-02-25 11:31:03,2020-02-25 11:31:03,0,192.168.250.27,62.128.100.161,50306,443,TCP,....S.,0,0,5,224,1,4
2020-02-25 11:31:03,2020-02-25 11:31:03,0,62.128.100.161,217.15.20.194,443,50306,TCP,.A..S.,0,0,4,184,4,1
2020-02-25 11:30:59,2020-02-25 11:31:04,5.02,192.168.250.3,141.8.142.75,80,62395,TCP,.A..S.,0,0,9,5812,1,4
2020-02-25 11:30:59,2020-02-25 11:31:04,5.03,141.8.142.75,217.15.20.194,62395,80,TCP,....S.,0,0,9,841,4,1
2020-02-25 11:31:05,2020-02-25 11:31:05,0,192.168.250.50,192.168.250.1,63160,53,UDP,......,0,0,2,120,1,0
2020-02-25 11:31:05,2020-02-25 11:31:05,0,192.168.250.1,192.168.250.50,53,63160,UDP,......,0,0,2,1070,0,1
2020-02-25 11:30:11,2020-02-25 11:31:05,53.71,13.232.66.4,217.15.20.194,443,50298,TCP,.A..S.,0,0,19,6076,4,1
2020-02-25 11:30:11,2020-02-25 11:31:05,53.91,192.168.250.27,13.232.66.4,50298,443,TCP,....S.,0,0,20,1724,1,4
2020-02-25 11:30:34,2020-02-25 11:31:05,31.18,192.168.250.3,23.226.231.226,80,30437,TCP,.A..S.,0,0,7,308,1,4
2020-02-25 11:31:06,2020-02-25 11:31:06,0,192.168.250.62,192.168.250.1,39778,123,UDP,......,0,16,2,152,1,0
2020-02-25 11:31:06,2020-02-25 11:31:06,0,192.168.250.1,192.168.250.62,123,39778,UDP,......,0,184,2,152,0,1
